population_affected,casualty_count,structure_damage_pct,road_accessibility_score,hours_since_last_goods,goods_received_ratio,vulnerability_index,priority_score
10720,24,0.1931,1.0,29,0.6544,0.3656,26.55
1482,3,0.0815,1.0,55,0.2075,0.4705,17.81
6051,12,0.0256,0.5,39,0.235,0.1242,33.55
1643,2,0.124,1.0,26,0.5271,0.2475,20.59
2751,2,0.715,0.5,44,0.3262,0.2382,36.86
1799,1,0.1863,0.0,14,0.3274,0.3499,31.38
1653,0,0.1008,0.0,66,0.1239,0.3945,39.09
2381,1,0.0078,0.5,46,0.8633,0.513,28.88
2823,4,0.1612,0.0,157,0.2386,0.509,58.91
2250,3,0.2286,0.0,64,0.4718,0.2337,48.13
2083,2,0.0368,0.5,145,0.1294,0.2428,36.84
1077,3,0.5433,0.5,53,0.4931,0.4274,28.76
1853,3,0.4231,0.0,240,0.5518,0.4904,66.66
5561,19,0.3479,0.5,51,0.5704,0.2791,36.93
1035,1,0.3874,0.5,3,0.5745,0.2676,23.35
2432,0,0.1729,1.0,33,0.247,0.2259,8.78
4471,2,0.1612,0.5,68,0.7197,0.3793,29.16
2839,1,0.868,0.0,240,0.3058,0.2503,63.41
3808,3,0.3358,1.0,27,0.0601,0.4649,14.25
725,5,0.1339,1.0,111,0.5523,0.2518,19.27
2436,5,0.0833,0.5,146,0.1901,0.3512,31.25
1580,4,0.0333,0.0,25,0.2875,0.5903,43.73
1634,4,0.2031,0.5,63,0.0157,0.4943,28.82
5255,17,0.1158,1.0,70,0.3258,0.4641,26.67
1655,1,0.17,1.0,4,0.6927,0.448,6.69
2494,2,0.3155,1.0,38,0.2378,0.3839,12.55
326,4,0.0615,1.0,4,0.3088,0.4849,13.63
6046,20,0.1261,1.0,13,0.3726,0.4167,21.69
3658,3,0.0118,0.0,16,0.0965,0.3299,47.13
1906,1,0.1721,0.0,114,0.2584,0.4276,52.38
1525,4,0.8431,0.0,2,0.5395,0.605,43.72
3045,5,0.668,0.0,77,0.3538,0.4273,46.86
4434,0,0.3773,0.0,83,0.2194,0.5348,47.64
6100,15,0.0737,0.5,41,0.245,0.3528,46.0
3576,3,0.2545,1.0,66,0.2547,0.3676,21.53
2104,0,0.0688,0.0,82,0.33,0.3751,45.39
3958,3,0.19,1.0,17,0.4236,0.2921,11.37
3473,2,0.0157,1.0,0,0.5568,0.4612,18.73
2111,5,0.291,0.0,84,0.5531,0.4286,44.03
3403,5,0.5287,0.0,9,0.7875,0.4375,45.96
3359,3,0.0824,0.5,53,0.1148,0.4277,34.5
1898,3,0.0984,1.0,13,0.6533,0.2695,2.19
1299,1,0.0357,1.0,0,0.4431,0.2558,2.15
3159,1,0.7481,0.0,240,0.2845,0.2242,63.0
804,1,0.1846,0.5,9,0.4438,0.1843,26.15
645,7,0.8648,1.0,25,0.1743,0.3819,15.7
2523,3,0.2614,0.0,69,0.0449,0.3101,41.1
3099,0,0.1422,0.5,45,0.5935,0.1097,19.35
2509,3,0.2558,0.5,102,0.6036,0.1697,29.48
2712,4,0.1267,0.0,26,0.0678,0.1428,36.38
3062,1,0.743,1.0,84,0.5373,0.2836,25.09
5268,19,0.6557,0.0,20,0.3902,0.4263,60.85
3619,5,0.5278,1.0,47,0.0841,0.4453,21.65
3544,0,0.2239,1.0,6,0.5524,0.4725,10.09
2382,3,0.8645,0.0,0,0.4057,0.3362,49.47
2448,4,0.6255,1.0,18,0.2363,0.4474,20.46
1780,2,0.5167,0.0,8,0.7034,0.1692,35.52
2654,6,0.079,0.0,87,0.1059,0.1217,44.92
767,2,0.2875,0.0,55,0.2423,0.1967,46.31
5284,19,0.5732,1.0,230,0.3481,0.5022,45.42
977,3,0.1812,1.0,28,0.1745,0.2458,13.98
3614,2,0.0997,0.0,47,0.6763,0.2003,39.16
4846,3,0.1022,0.5,88,0.3083,0.4444,33.06
3608,3,0.1841,1.0,14,0.5749,0.3318,15.16
8207,19,0.393,0.5,6,0.7429,0.342,38.36
224,3,0.2532,0.0,62,0.1046,0.3626,36.12
1371,3,0.7321,0.5,45,0.2075,0.469,29.62
4792,3,0.1421,0.5,13,0.4908,0.1522,28.16
620,4,0.0493,0.5,70,0.3043,0.3959,36.71
1004,3,0.6337,0.5,191,0.5379,0.3915,37.98
2926,3,0.0839,1.0,147,0.0196,0.4861,24.36
2085,4,0.9392,0.5,21,0.2895,0.2242,43.44
2799,3,0.064,0.5,2,0.6142,0.3342,18.91
2221,3,0.1214,1.0,68,0.0527,0.5023,20.43
2376,5,0.1848,0.5,95,0.2536,0.4093,31.46
1094,4,0.4943,1.0,0,0.6559,0.6091,12.96
2320,2,0.2294,0.0,19,0.2009,0.5286,54.74
1449,4,0.9538,0.5,70,0.0323,0.137,41.09
1615,5,0.155,0.5,65,0.6329,0.5982,30.82
3579,3,0.0859,0.5,40,0.1484,0.5596,26.8
588,3,0.9544,0.5,2,0.686,0.3957,26.84
125,5,0.0806,0.5,21,0.1063,0.1454,21.24
3400,3,0.1784,0.5,27,0.0856,0.6046,24.05
2322,1,0.1989,0.5,6,0.3143,0.5363,15.17
4842,8,0.6874,1.0,42,0.2302,0.5154,21.34
1029,3,0.6502,0.5,25,0.4628,0.3535,28.54
1851,2,0.5899,1.0,56,0.4249,0.5933,23.14
2146,2,0.0781,1.0,1,0.7694,0.0969,2.8
1213,2,0.5528,1.0,51,0.2475,0.3863,16.82
915,1,0.5109,0.0,240,0.1845,0.5258,52.44
3521,2,0.1965,1.0,0,0.522,0.1758,6.87
531,2,0.2808,0.5,94,0.0572,0.4601,19.88
782,4,0.062,0.5,178,0.1318,0.4469,49.59
1803,4,0.0823,1.0,201,0.2345,0.2513,27.19
3810,2,0.7228,0.0,20,0.2369,0.4761,50.11
1281,2,0.0261,0.0,49,0.5264,0.1512,42.45
1147,2,0.0716,0.0,176,0.4622,0.5879,64.72
1720,4,0.1465,1.0,49,0.4349,0.4831,11.63
2614,2,0.1445,0.5,64,0.3864,0.4722,25.81
1514,4,0.6676,1.0,10,0.6206,0.3459,23.23
4150,0,0.1064,0.0,88,0.7142,0.3651,41.19
4271,5,0.8795,0.0,92,0.4517,0.4431,64.28
1803,3,0.936,0.0,35,0.0854,0.4804,49.63
6800,17,0.1585,1.0,21,0.1557,0.2294,27.49
2109,7,0.0143,0.0,43,0.4603,0.3123,36.49
4173,2,0.1109,1.0,22,0.0461,0.3956,28.64
2561,0,0.9124,0.5,15,0.2547,0.4306,30.18
2526,1,0.3405,1.0,10,0.2985,0.4824,9.01
409,4,0.0741,0.5,71,0.7187,0.2984,28.93
720,3,0.0924,0.5,22,0.6724,0.4958,19.83
1579,2,0.4261,0.0,240,0.213,0.2418,63.03
4249,3,0.0361,0.5,30,0.0088,0.4474,25.36
2588,4,0.1472,0.5,218,0.3031,0.3353,45.15
1591,4,0.6656,0.0,38,0.005,0.2572,44.85
3120,1,0.2188,1.0,14,0.0214,0.3282,9.6
4142,1,0.0436,0.0,156,0.1326,0.4136,50.76
2009,3,0.6289,0.0,211,0.1099,0.3197,66.4
2365,2,0.0242,0.5,25,0.1817,0.438,25.05
2145,2,0.0263,0.5,17,0.1122,0.4409,25.15
1913,4,0.3249,0.0,14,0.5716,0.3779,43.91
1019,2,0.0522,1.0,65,0.2507,0.2873,18.09
949,2,0.1442,0.0,130,0.1292,0.3945,44.62
3106,5,0.8688,0.5,14,0.1764,0.4631,36.53
4196,3,0.1767,0.0,233,0.2446,0.2105,58.42
1588,7,0.1069,0.0,87,0.6028,0.1059,44.98
1558,0,0.1094,0.5,32,0.3441,0.2677,29.89
292,3,0.3144,1.0,35,0.5783,0.1515,0.0
229,3,0.3784,0.5,8,0.7532,0.4611,18.32
4944,4,0.1315,0.0,194,0.0399,0.2239,60.79
1079,2,0.0678,0.0,40,0.0787,0.3353,43.27
8581,11,0.16,1.0,48,0.7066,0.178,32.39
1252,2,0.0331,0.0,51,0.137,0.5356,34.17
425,4,0.1264,0.5,162,0.1002,0.4574,44.24
2158,1,0.3178,0.0,4,0.4751,0.5093,43.2
3492,3,0.0984,0.0,43,0.1013,0.4608,45.45
3224,0,0.4375,0.0,108,0.1537,0.143,44.34
3738,4,0.169,0.0,58,0.0453,0.4041,46.56
842,6,0.2588,0.5,41,0.6631,0.394,32.46
4865,2,0.2019,0.5,4,0.4939,0.3855,29.37
5058,15,0.1546,1.0,87,0.1857,0.4674,27.02
5207,13,0.9264,0.0,13,0.0431,0.3777,52.99
2427,3,0.1203,0.5,45,0.0647,0.4292,33.95
1490,3,0.1799,0.5,35,0.0977,0.4443,27.52
1382,4,0.3602,0.0,37,0.8417,0.5714,41.41
422,4,0.0793,0.0,37,0.157,0.292,40.17
1276,1,0.5189,0.0,100,0.0578,0.2523,46.41
111,1,0.2922,0.0,42,0.3684,0.1228,35.34
359,4,0.1381,0.5,147,0.4505,0.2037,26.14
2408,1,0.3944,0.0,45,0.3265,0.4629,42.4
1632,1,0.6372,0.5,63,0.0692,0.28,24.13
2331,5,0.0248,0.5,1,0.7408,0.2704,25.89
3307,6,0.1535,0.5,11,0.4067,0.2182,25.26
2657,1,0.0736,0.0,240,0.4009,0.5166,57.5
2495,2,0.0587,0.5,18,0.0333,0.2546,26.57
1868,0,0.1208,0.5,25,0.0251,0.492,22.53
1045,1,0.1194,1.0,109,0.2814,0.4448,10.61
625,1,0.3342,0.0,233,0.1035,0.2459,59.06
1304,4,0.5853,0.0,0,0.5592,0.4525,51.4
1892,2,0.6654,1.0,26,0.2944,0.5799,20.75
2080,1,0.9826,0.0,12,0.4194,0.1231,51.92
3743,2,0.0358,0.0,37,0.1888,0.2174,38.01
1762,1,0.1977,1.0,18,0.424,0.1627,8.35
2975,2,0.0357,0.5,61,0.2537,0.4135,29.56
490,1,0.2278,0.5,13,0.2792,0.4016,30.45
2434,6,0.954,0.0,3,0.3864,0.4544,53.25
2308,1,0.0973,0.0,11,0.2384,0.3144,39.21
4866,2,0.4561,0.0,189,0.2809,0.4737,51.36
1633,2,0.1557,1.0,17,0.5693,0.3609,3.39
1578,3,0.0299,0.5,23,0.2062,0.3535,28.67
3323,2,0.645,0.5,73,0.4281,0.4294,34.75
674,5,0.0227,1.0,18,0.3408,0.2959,8.23
2387,3,0.0453,1.0,19,0.2593,0.4676,14.85
641,3,0.0677,0.0,10,0.4093,0.1536,42.41
6356,23,0.7642,0.5,51,0.134,0.183,44.25
1412,4,0.4076,0.5,130,0.2679,0.3847,40.46
599,4,0.6996,1.0,32,0.4862,0.3687,22.45
1297,2,0.3788,1.0,111,0.1333,0.3694,27.15
2398,3,0.1745,1.0,12,0.409,0.4811,9.04
2909,6,0.9339,0.5,43,0.3067,0.2048,38.68
4695,2,0.1369,0.0,131,0.1294,0.167,58.57
1166,2,0.8311,0.5,42,0.1103,0.4542,33.11
3430,3,0.2566,0.5,45,0.2018,0.284,30.81
360,2,0.095,0.5,49,0.1059,0.3183,17.32
787,3,0.0103,0.5,21,0.2933,0.3661,19.23
505,0,0.9658,0.5,17,0.0493,0.1577,25.78
992,3,0.1318,0.5,58,0.214,0.223,21.54
3322,2,0.0944,1.0,6,0.3175,0.1905,11.64
1191,1,0.1726,0.5,33,0.0227,0.1886,30.42
1392,5,0.4495,1.0,2,0.6637,0.5446,9.41
2446,1,0.234,0.5,29,0.0281,0.1262,17.11
2822,5,0.0537,0.5,18,0.7524,0.5113,26.01
1427,1,0.0678,0.5,37,0.2549,0.276,26.68
782,3,0.1453,0.5,20,0.3984,0.2938,24.94
5677,19,0.3203,1.0,65,0.3732,0.2385,24.46
1435,5,0.1432,0.0,36,0.2614,0.3847,37.07
1556,2,0.3234,1.0,51,0.0338,0.597,20.52
1719,4,0.029,1.0,100,0.1053,0.179,19.28
3038,3,0.0921,0.5,18,0.3931,0.3385,23.83
463,1,0.7987,0.0,153,0.3118,0.2372,46.37
7163,24,0.0826,0.0,240,0.5899,0.3708,74.8
1521,2,0.1573,0.0,4,0.7931,0.5791,33.2
3112,3,0.3176,0.0,42,0.4268,0.3164,47.87
606,2,0.063,0.0,240,0.1879,0.1417,56.97
2265,5,0.8175,1.0,181,0.2393,0.4883,42.74
6445,18,0.0485,0.5,34,0.2189,0.2864,39.72
5856,20,0.1469,1.0,2,0.4384,0.5038,32.48
3054,3,0.0834,0.5,10,0.7919,0.3861,25.48
933,3,0.359,0.5,111,0.3136,0.4081,30.8
4527,2,0.1613,1.0,164,0.2216,0.4821,22.78
357,2,0.1048,0.0,3,0.8069,0.4226,30.34
902,2,0.6528,0.5,6,0.6748,0.3498,27.72
1876,3,0.0291,1.0,68,0.0473,0.2691,15.78
395,2,0.2458,1.0,1,0.2675,0.4456,0.0
1294,7,0.6392,0.5,104,0.3142,0.2832,42.99
3478,3,0.1048,1.0,30,0.0207,0.54,23.55
1085,3,0.7954,0.5,9,0.9694,0.3758,17.42
3594,5,0.0649,0.0,215,0.4533,0.5195,65.68
8427,18,0.1367,0.0,172,0.2905,0.3686,78.99
2662,4,0.2509,0.5,12,0.3078,0.395,19.39
3550,2,0.1474,0.0,60,0.3657,0.4364,44.6
4633,1,0.0899,0.0,67,0.1026,0.3353,44.87
1398,1,0.1423,0.0,67,0.5173,0.4249,47.63
3492,1,0.2605,1.0,49,0.0556,0.3137,15.13
1370,3,0.0693,1.0,53,0.0924,0.368,11.2
2527,2,0.1085,1.0,43,0.1695,0.4787,16.52
3867,3,0.1406,0.5,149,0.0332,0.2322,48.84
973,4,0.8233,1.0,23,0.0711,0.4963,16.99
128,0,0.4217,0.5,17,0.2533,0.2286,21.32
890,5,0.8275,0.5,4,0.8083,0.5791,26.97
4267,4,0.6164,0.5,13,0.5445,0.4007,36.41
790,4,0.0618,0.0,42,0.0218,0.3707,35.65
4105,0,0.068,0.5,162,0.2217,0.2706,39.73
895,1,0.0632,0.5,62,0.2751,0.1533,21.33
1676,2,0.8711,1.0,1,0.5209,0.587,8.5
1978,3,0.092,0.0,96,0.3966,0.3666,37.31
786,2,0.6988,0.0,18,0.2588,0.4016,40.99
1691,3,0.5814,0.5,132,0.4366,0.5288,44.19
424,2,0.0368,0.0,71,0.3165,0.2828,31.58
1504,2,0.9768,1.0,40,0.5274,0.2101,19.89
1854,3,0.3779,0.5,3,0.4559,0.3837,22.94
138,4,0.1649,0.5,21,0.4565,0.359,18.21
883,4,0.1545,0.5,37,0.2086,0.3953,28.84
2470,4,0.7856,0.5,3,0.7799,0.3301,36.05
702,5,0.074,0.0,147,0.1636,0.4465,58.64
2777,5,0.1021,0.5,90,0.0078,0.3191,36.74
2976,2,0.0143,0.0,76,0.4566,0.249,44.97
2462,4,0.1152,0.5,3,0.6795,0.3099,26.42
3463,2,0.8546,1.0,0,0.6698,0.4599,28.69
393,2,0.2947,0.0,84,0.3925,0.2531,42.74
3987,2,0.7754,0.5,35,0.2831,0.364,41.4
798,2,0.3914,1.0,79,0.0723,0.4885,14.26
2157,3,0.4565,0.5,37,0.1692,0.4542,27.35
6277,26,0.9115,0.5,43,0.1149,0.2469,58.08
1477,5,0.5908,0.5,74,0.0654,0.3545,35.62
2017,4,0.1198,0.5,2,0.5888,0.376,25.36
803,5,0.2212,0.5,78,0.3041,0.5151,34.12
6236,15,0.3724,0.0,33,0.5876,0.1647,50.15
885,4,0.2568,0.5,15,0.36,0.4091,23.35
3163,3,0.3398,1.0,64,0.3361,0.342,15.28
4627,4,0.0467,0.5,13,0.2131,0.1719,31.47
3379,3,0.0272,1.0,6,0.4786,0.2188,12.41
2575,4,0.0555,0.0,171,0.3029,0.5354,52.35
2132,3,0.2474,0.5,86,0.0874,0.2275,43.66
600,2,0.2916,0.5,14,0.1079,0.2832,24.78
6052,15,0.2919,0.5,32,0.1146,0.4575,41.87
2422,2,0.8201,1.0,22,0.1717,0.375,24.58
2018,1,0.2104,0.5,28,0.6869,0.3434,20.79
739,5,0.6711,0.5,41,0.3644,0.2133,28.04
2095,2,0.0898,0.5,43,0.1815,0.2144,29.14
1921,3,0.364,0.5,80,0.1245,0.3653,26.49
6277,14,0.4792,1.0,5,0.661,0.4127,22.16
2017,4,0.2272,1.0,59,0.2632,0.5599,26.95
2069,0,0.1715,0.0,210,0.5003,0.4785,64.9
748,2,0.8849,1.0,38,0.554,0.3156,19.71
1052,6,0.0824,1.0,14,0.3776,0.5955,16.68
2901,4,0.1412,0.5,68,0.3353,0.2608,34.51
312,5,0.1537,0.5,62,0.0286,0.4226,27.36
3973,2,0.161,1.0,6,0.6622,0.1471,19.42
4047,1,0.0631,1.0,67,0.341,0.4112,12.46
955,3,0.1163,0.0,150,0.6073,0.2307,53.62
2582,4,0.0567,0.5,57,0.7872,0.2834,25.64
4730,2,0.7853,1.0,39,0.5186,0.472,19.51
1802,2,0.1161,1.0,65,0.0488,0.5049,18.36
1545,5,0.0042,0.5,101,0.0297,0.1668,43.03
1702,5,0.5991,1.0,43,0.2076,0.2737,24.8
2417,3,0.1309,0.5,173,0.5301,0.1114,39.89
1176,2,0.5872,0.5,20,0.1615,0.3419,29.02
1439,2,0.0349,0.5,95,0.334,0.486,34.62
2453,5,0.6968,0.0,168,0.6989,0.2615,64.93
1343,5,0.0804,0.0,155,0.521,0.294,42.24
685,8,0.0341,1.0,45,0.4248,0.3514,11.68
280,4,0.2945,0.0,102,0.2584,0.443,42.33
2048,3,0.0648,0.0,4,0.8158,0.4598,36.78
4532,2,0.8011,0.0,76,0.3163,0.5083,49.26
2678,1,0.7068,0.0,43,0.1123,0.2068,39.34
712,4,0.1549,0.0,85,0.3549,0.2378,38.18
1045,3,0.3904,0.5,1,0.5048,0.2487,21.4
1535,5,0.7188,1.0,4,0.6252,0.1578,16.0
6410,19,0.1086,0.5,47,0.0308,0.536,39.28
6641,20,0.1876,0.5,46,0.3402,0.3803,38.47
6132,19,0.6387,0.0,96,0.0831,0.5392,67.99
2209,3,0.2563,0.0,26,0.1853,0.4936,45.56
12072,11,0.7085,1.0,88,0.665,0.5953,49.76
1092,5,0.1391,0.5,15,0.1967,0.1214,29.88
1490,5,0.4151,1.0,118,0.4758,0.4322,16.35
3763,2,0.1445,0.5,33,0.2152,0.1897,26.53
2463,5,0.6606,0.5,20,0.3324,0.2829,35.76
2568,5,0.247,0.5,60,0.2874,0.3608,28.21
831,2,0.6899,0.0,66,0.4286,0.3257,45.04
1910,4,0.3351,1.0,47,0.0906,0.2373,7.55
1106,3,0.1867,0.5,217,0.4084,0.2592,34.52
558,3,0.0395,0.5,98,0.0221,0.1662,36.61
1223,2,0.5356,0.0,4,0.8326,0.259,39.94
2463,4,0.1145,0.5,3,0.9688,0.3639,20.32
3344,4,0.1004,1.0,63,0.7916,0.5161,13.54
267,1,0.9668,0.5,158,0.361,0.2175,48.63
1980,4,0.8257,1.0,28,0.0699,0.5419,16.27
1844,1,0.1371,0.0,16,0.3455,0.4079,42.21
2370,6,0.0421,1.0,70,0.4017,0.302,20.69
725,2,0.0303,1.0,7,0.6008,0.2547,12.62
739,1,0.0676,1.0,10,0.7799,0.3013,0.63
4615,2,0.0684,1.0,7,0.4375,0.2292,5.76
967,2,0.7368,0.5,26,0.3902,0.5902,24.36
1431,4,0.1574,0.5,4,0.5443,0.3955,27.62
1554,0,0.1227,1.0,58,0.787,0.3435,20.25
1124,1,0.3686,1.0,5,0.6752,0.3351,11.87
2837,3,0.0062,0.5,62,0.6645,0.3067,25.4
2666,2,0.0091,1.0,92,0.0599,0.2314,23.57
1780,3,0.0423,0.5,62,0.2606,0.2668,26.37
1182,2,0.9176,0.0,146,0.031,0.1112,52.53
1670,3,0.3804,0.0,9,0.4126,0.2997,39.66
2110,3,0.8518,0.5,23,0.4629,0.3221,28.95
1046,3,0.7185,0.5,51,0.3661,0.2148,27.9
2990,5,0.1404,0.5,4,0.442,0.447,33.57
3952,1,0.2514,0.5,2,0.7374,0.4951,24.22
5152,15,0.1203,0.5,3,0.3141,0.4306,27.25
4943,3,0.2565,0.0,116,0.0524,0.2136,58.81
1546,3,0.114,0.0,101,0.2183,0.3119,42.68
2190,2,0.1526,0.0,219,0.5238,0.3277,52.39
1753,5,0.2117,0.5,85,0.2044,0.4108,37.07
1748,1,0.1389,1.0,2,0.5196,0.2815,3.83
1661,1,0.012,1.0,53,0.3027,0.4351,9.61
2009,4,0.6328,0.0,51,0.2639,0.2702,48.6
4402,1,0.054,1.0,48,0.1038,0.4074,15.64
2519,3,0.7519,0.5,31,0.5889,0.1833,29.33
